Date,Time,Place,Address,City,State,Zip,Lat,Long
3/1/2020,Unknown,Detroit Metropolitan Airport,9000 Middlebelt Rd,Romulus,MI,48242,42.2161722,-83.3575729
3/4/2020,Unknown,Detroit Metropolitan Airport,9000 Middlebelt Rd,Romulus,MI,48242,42.2161722,-83.3575729
3/5/2020,12:15-12:35 p.m.,Burger King,27700 23 Mile Rd,Chesterfield Township,MI,48051,42.6740505,-82.8314209
3/5/2020,12:15-12:35 p.m.,White Castle,27760 23 Mile Rd,New Baltimore,MI,48051,42.6740899,-82.8308422
3/5/2020,1:00 p.m p.m.,Hobby Lobby,"4715 24th Ave., #100",Fort Gratiot Township,MI,48059,43.0440397,-82.4610698
3/6/2020,12:30-1:00 p.m.,Poole's Tavern,157 E Main St.,Northville,MI,48167,42.4314252,-83.4836717
3/6/2020,6:30-7:00 p.m.,Five Guys,3561 28th St SE,Grand Rapids,MI,49512,42.9128926,-85.5819761
3/7/2020,1:00-3:00 p.m.,Tap Room,201 W Michigan Avenue,Ypsilanti,MI,48197,42.2408098,-83.6168686
3/7/2020,12:30-1:30 p.m.,MSA Woodland,2100 28th St SE,Grand Rapids,MI,49508,42.9115355,-85.6179696
3/7/2020,4:30-6:15 p.m.,Texas Roadhouse,3776 28th SE,Kentwood,MI,49512,42.9120436,-85.5758663
3/7/2020,5:30-10:30 p.m.,USA Hockey Arena,14900 N Beck Rd,Plymouth,MI,48170,42.3894272,-83.5086965
